,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
27,27,purpose:major_purch__car__home_impr,0.2666166413780501,1.3320907842729846e-17,purpose,20.856823838520523,21.0,0.14317616147947732,21.0
28,28,initial_list_status:w,0.05570463444259224,2.0044743449839926e-05,initial_list_status,4.357649025782001,4.0,-0.35764902578200086,4.0
29,29,term:36,0.07865894928622877,1.9364952671482192e-08,term,6.153313762060831,6.0,-0.15331376206083114,6.0
30,30,emp_length:1,0.09932556770704769,0.00012810867560492898,emp_length,7.770017121284941,8.0,0.22998287871505863,8.0
31,31,emp_length:2-4,0.12508811747662707,3.392090593459721e-11,emp_length,9.785363798063951,10.0,0.21463620193604882,10.0
32,32,emp_length:5-6,0.09006986614653119,2.563345530591576e-05,emp_length,7.0459642791523915,7.0,-0.04596427915239154,7.0
33,33,emp_length:7-9,0.059919228845011795,0.0039586645948651395,emp_length,4.6873473242368116,5.0,0.31265267576318845,5.0
34,34,emp_length:10,0.12457415480622638,1.387808873967623e-11,emp_length,9.745157647312384,10.0,0.254842352687616,10.0
35,35,mths_since_issue_d:<38,0.973668241531615,3.437846412281203e-182,mths_since_issue_d,76.16788991798778,76.0,-0.16788991798777886,76.0
36,36,mths_since_issue_d:38-39,0.797003162965554,2.6113857676623943e-99,mths_since_issue_d,62.347775753223296,62.0,-0.3477757532232957,62.0
37,37,mths_since_issue_d:40-41,0.7113788976590444,3.89463392068711e-95,mths_since_issue_d,55.649580889728774,56.0,0.3504191102712255,56.0
38,38,mths_since_issue_d:42-48,0.5289074920410451,1.5120945033107295e-66,mths_since_issue_d,41.375250739626026,41.0,-0.3752507396260256,41.0
39,39,mths_since_issue_d:49-52,0.37436529015808817,2.2198874871583085e-30,mths_since_issue_d,29.285759762506277,29.0,-0.2857597625062773,29.0
40,40,mths_since_issue_d:53-64,0.12848564914254032,3.199389839753637e-05,mths_since_issue_d,10.051145105170246,10.0,-0.05114510517024584,10.0
41,41,mths_since_issue_d:65-84,-0.07810516188478399,0.011628381934819581,mths_since_issue_d,-6.10999221162712,-6.0,0.10999221162712036,-6.0
42,42,int_rate:<9.548,0.8686071249484584,2.2860064507719492e-30,int_rate,67.94919362983642,68.0,0.0508063701635848,68.0
43,43,int_rate:9.548-12.025,0.546490835316317,3.7721170506611626e-34,int_rate,42.75075637681755,43.0,0.2492436231824513,43.0
44,44,int_rate:12.025-15.74,0.29944137218004796,4.300012022286784e-16,int_rate,23.424629150092837,23.0,-0.4246291500928372,23.0
45,45,int_rate:15.74-20.281,0.11146554942935323,0.00012795298821235198,int_rate,8.719700752720227,9.0,0.28029924727977296,9.0
46,46,mths_since_earliest_cr_line:141-164,0.0336105287253985,0.1648705064470969,mths_since_earliest_cr_line,2.629276526483476,3.0,0.3707234735165241,3.0
47,47,mths_since_earliest_cr_line:165-247,0.033717709115252216,0.082578768439445,mths_since_earliest_cr_line,2.637661008781988,3.0,0.36233899121801194,3.0
